26
S S S S S S S S S S S S S S S S S S S S S S S S S S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T 0 0 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T 0 0 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 P 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T 0 0 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T 0 0 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S 0 0 0 0 0 0 0 T T T T S S 0 0 0 0 0 0 0 T T T T S
S S S S S S S S S S S S S S S S S S S S S S S S S S
